rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",1:37.79,"24.90,24.70,24.50,23.69;L. Bailey,M. Spalding,M. Esposito,O. Lewis",
2,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:37.89,"23.79,24.46,25.49,24.15;S. Jimenez,R. Porter,D. Vrobel,O. Agwa",
3,A,,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",1:38.18,"23.71,25.06,25.20,24.21;M. Trumpower,A. Zehe,J. Simmering,T. Crum",
4,A,,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",1:38.52,"25.34,24.86,24.87,23.45;W. Adams,W. Mbui,E. Harness,A. Neff",
5,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",1:39.71,"24.81,25.83,24.73,24.34;S. Fink,T. Stover,L. Gregory,P. Sollmann",
6,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",1:40.66,"24.23,26.23,25.22,24.98;K. Drummond,C. Kaplansky,V. Hoy,O. Lafollette",
7,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",1:40.71,"24.78,23.35,26.12,26.46;E. Tenhundfeld,E. Kyre,N. Boillot,E. Cason",
8,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",1:40.97,"24.73,25.61,25.79,24.84;B. Zaring,C. Mulvihill,C. Lorentz,A. Brouwer",
9,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:41.04,"25.40,26.08,24.75,24.81;A. Klass,A. Nelson,A. Steffen,K. Maag",
10,A,,COGH,Grandview Heights,,Columbus,OH,"39.984467, -83.048483",1:41.15,"25.56,25.75,26.98,22.86;L. Fischer,M. Bondy,H. Fischer,C. Furbee",
11,A,,NRCC,Colonel Crawford,,North Robinson,OH,"40.788253, -82.855703",1:41.38,"26.32,25.61,24.91,24.54;R. Finnan,M. Foust,A. Finnan,A. Rickel",
12,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",1:41.60,"25.37,25.85,25.42,24.96;E. Myers,G. Minotas,L. Covington,M. Iskra",
13,A,,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",1:41.65,"26.16,25.95,25.19,24.35;K. Fridrich,V. Meckstroth,I. Stowe,M. Koopal",
14,A,,PPO,Orange,,Pepper Pike,OH,"41.458036, -81.454526",1:41.98,"25.64,25.34,25.81,25.19;A. Chepyala,C. Bolton,L. Jais,L. Campbell",
15,A,,CSHU,Seven Hills,School,Cincinnati,OH,"39.166755, -84.402521",1:42.35,"26.09,26.29,25.18,24.79;M. Zortman,A. Doepke,J. Schneider,R. Ellerman",
16,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:42.83,"25.78,26.20,25.86,24.99;C. Leroy,E. Tinsler,S. Stedronsky,L. Klosterman",
17,A,,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",1:42.89,"27.06,25.72,25.14,24.97;J. Ninke,N. Mitchel,E. West,K. Skavnak",
18,A,,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",1:43.26,"25.87,26.45,26.16,24.78;P. Triplett,A. Botkin,N. Fischbach,C. Turner",
19,A,,CAN,Canfield,,Canfield,OH,"41.028312, -80.773217",1:43.78,"26.21,25.53,26.21,25.83;J. Protain,M. Ronyak,M. Gray,L. Gray",
20,A,,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",1:44.08,"25.34,26.69,26.46,25.59;A. Dyer,C. Bahlmann,J. Loucka,S. Richards",
21,A,,MNST,Minster,,Minster,OH,"40.401104, -84.379074",1:44.67,"26.82,27.24,25.98,24.63;C. Holthaus,E. Heuker,A. Meyer,E. Oldiges",
22,A,,CICD,Cincinnati Country Day,School,Cincinnati,OH,"39.185750, -84.327596",1:45.01,"25.86,26.22,25.95,26.98;D. Gorman,G. Varga,K. Connelly,Z. Varga",
23,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",1:45.12,"25.64,27.45,27.04,24.99;S. Shardo,C. Goubeaux,E. Frederick,A. Shardo",
24,A,,COL,Coldwater,,Coldwater,OH,"40.481679, -84.629590",1:45.73,"26.34,26.13,28.42,24.84;K. May,K. Knapke,A. Kahlig,C. Bertke",
