rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,HVUS,University School,nhs,Hunting Valley,OH,"41.485518, -81.427641",1:35.81,"24.66,26.12,23.40,21.63;A. Pesek,B. Davis,M. Devine,B. Perry",
2,A,,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",1:37.27,"26.58,25.15,23.77,21.77;J. Hathaway,I. Prykhodko,T. Nickoli,O. Bell",
3,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",1:37.74,"24.71,27.46,24.93,20.64;A. Li,M. Butnariu,W. Duan,W. Harpster",
4,A,,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",1:37.82,"26.21,26.49,23.25,21.87;C. Rummer,C. Stenken,C. Hagenauer,J. Calvert",
5,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:37.88,"23.98,26.25,24.58,23.07;A. Velayutham,J. Wenker,L. Bass,A. Ok",
6,A,,BEA,Beachwood,,Beachwood,OH,"41.484048, -81.501324",1:38.85,"24.67,28.93,23.06,22.19;K. Zhang,B. Keyerleber,D. Fan,C. Elwell",
7,A,,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",1:39.46,"24.36,27.83,23.96,23.31;T. Brun,E. Simon,T. Prizler,C. Beck",
8,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",1:39.52,"28.03,28.24,21.51,21.74;T. Johannsen,S. Heintz,A. Sorg,N. Warnke",
9,A,,CAN,Canfield,,Canfield,OH,"41.028312, -80.773217",1:39.52,"23.98,27.87,24.57,23.10;H. Price,R. Weibling,A. Zoccali,A. Grohovsky",
10,A,,KRO,Roosevelt,,Kent,OH,"41.168809, -81.355950",1:39.68,"25.28,28.06,23.93,22.41;A. Springer,D. Vecchio,K. Pyka,J. Puhalla",
11,A,,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",1:39.77,"26.45,26.98,23.97,22.37;L. Williams,J. Ninke,J. Collins,J. Savage",
12,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:40.23,"26.76,28.17,23.23,22.07;N. Gemmel,R. Lewis,M. Welty,J. Dobson",
13,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",1:40.50,"26.67,28.29,24.15,21.39;I. Colleran,J. Cistone,C. Tietjen,P. Koerwitz",
14,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",1:40.52,"26.00,28.55,23.98,21.99;C. Ortman,S. Pikor,E. Ream,O. Pesek",
15,A,,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",1:40.68,"25.28,28.48,23.73,23.19;R. Triplett,B. Triplett,M. McClain,G. Luebke",
16,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",1:40.90,"26.67,29.13,23.26,21.84;N. Tropf,T. Brennan,C. Mateyo,T. McCort",
17,A,,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",1:41.25,"25.73,29.06,24.06,22.40;N. Courreges,J. Gutekanst,K. Fridrich,N. Walker",
18,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:41.36,"27.27,27.18,24.80,22.11;P. McGraw,G. Steffan,A. Schroeder,C. Steffen",
19,A,,BELB,Bellbrook,,Bellbrook,OH,"39.652774, -84.067779",1:41.67,"28.44,25.01,24.84,23.38;A. Evans,P. Guthrie,R. Carper,L. Henley",
20,A,,RORV,Rocky River,,Rocky River,OH,"41.473668, -81.851096",1:41.70,"26.90,16.12,37.03,21.65;L. Nolan,C. Wanosik,T. Roe,M. Tabora",
21,A,,GVV,Valley View,,Germantown,OH,"39.656697, -84.398324",1:42.12,"24.69,29.71,24.29,23.43;J. Cooke,S. Berry,G. Rozelle,A. Clendenin",
22,A,,SCL,St. Clairsville,,St. Clairsville,OH,"40.079640, -80.896491",1:42.26,"25.10,30.02,23.21,23.93;E. Yost,L. Stack,Z. May,B. Kralovic",
23,A,,LSH,Shawnee,,Lima,OH,"40.692716, -84.167619",1:42.29,"27.88,27.01,24.41,22.99;M. Latham,C. Cleaves,T. Koh,D. Koh",
24,A,,CBW,Bishop Watterson,,Columbus,OH,"40.048986, -83.016282",1:42.85,"24.12,30.47,25.39,22.87;J. Rider,J. Cherok,D. Muldoon,M. Ratliff",
25,A,,MMC,Madison Comprehensive,,Mansfield,OH,"40.774653, -82.460698",1:43.25,"28.28,28.17,24.00,22.80;C. Petersen,A. Gibbons,C. Myers,L. Blake",
