rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:45.07,"25.64,29.37,24.50,25.56;J. Piliang,C. Dorsey,S. Jimenez,D. Vrobel",
2,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",1:46.20,"27.94,30.14,24.72,23.40;T. Stover,L. Gregory,T. Bacher,J. Shafer",
3,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:48.59,"28.06,30.00,26.12,24.41;B. Pontius,G. Henz,S. Tindale,L. Holmes",
4,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",1:48.86,"27.98,29.95,26.47,24.46;S. Dankof,V. Hoy,M. Evans,C. Holzhall",
5,A,,CSHU,Seven Hills,School,Cincinnati,OH,"39.166755, -84.402521",1:49.50,"27.87,31.23,25.91,24.49;J. Schneider,A. Clayton,M. McNerney,R. Ellerman",
6,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",1:50.53,"28.78,32.26,25.21,24.28;N. Boillot,E. Cason,E. Kyre,E. Tenhundfeld",
7,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",1:50.65,"28.52,29.61,27.54,24.98;G. Minotas,L. Kaufman,A. Johannessen,T. Zhang",
8,A,,SBRB,Roger Bacon,,Cincinnati,OH,"39.162903, -84.502332",1:51.19,"29.52,28.89,27.19,25.59;M. Stecher,R. Reilly,H. Russell,E. Pare",
9,A,,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",1:52.60,"28.56,32.87,26.03,25.14;B. Bruner,K. Prykhodko,K. Caldwell,E. Caldwell",
10,A,,CAN,Canfield,,Canfield,OH,"41.028312, -80.773217",1:52.69,"29.85,31.08,26.15,25.61;A. Colonna,K. Weibling,M. Ronyak,L. Gray",
11,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:52.83,"28.73,31.81,27.28,25.01;S. Stedronsky,L. Klosterman,E. Tinsler,C. Leroy",
12,A,,LSH,Shawnee,,Lima,OH,"40.692716, -84.167619",1:53.12,"29.29,31.82,27.26,24.75;A. Eyob,A. Newman,M. Schimmoeller,C. Schaaf",
13,A,,NMS,Springfield,,New Middletown,OH,"40.95505570899591, -80.54822234264678",1:53.28,"27.70,30.39,27.87,27.32;T. Hively,P. McCombs,K. Pellice,B. Hively",
14,A,,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",1:53.68,"28.03,30.59,28.47,26.59;A. Dyer,S. Richards,C. Bahlmann,J. Loucka",
15,A,,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",1:54.32,"28.61,32.44,28.04,25.23;C. Hayes,M. Prizler,P. Simon,A. Havrilla",
16,A,,NAP,Napoleon,,Napoleon,OH,"41.390402, -84.147467",1:54.35,"28.49,31.67,28.51,25.68;H. Nagel,A. Gerken,L. Hill,M. Spring",
17,A,,BRY,Bryan,,Bryan,OH,"41.457279, -84.568132",1:54.51,"26.70,31.75,29.12,26.94;N. Kunsman,E. Elkins,J. Mojica,H. Devlin",
18,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:54.57,"29.43,31.83,28.37,24.94;A. Steffen,K. Maag,K. Schmitz,A. Klass",
19,A,,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",1:54.61,"29.38,32.77,27.73,24.73;A. Botkin,P. Triplett,N. Fischbach,C. Turner",
20,A,,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",1:54.80,"27.06,32.99,27.15,27.60;C. Noone,A. Carlier,J. Bohl,L. Turan",
21,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",1:55.40,"30.78,33.94,26.26,24.42;E. Frederick,E. Porter,A. Shardo,S. Shardo",
22,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",1:55.89,"29.21,32.64,28.09,25.95;A. Svette,C. Simon,G. Ryan,H. Schron",
23,A,,CTAY,Taylor,,Cleves,OH,"39.170977, -84.751319",1:56.15,"31.04,29.21,28.11,27.79;M. Mullins,C. Rieskamp,M. Kantz,C. Rieskamp",
24,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",1:57.56,"29.78,32.80,33.16,21.82;A. Brouwer,H. Baker,A. Karikari,N. Kenter",
