rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",3:29.80,"25.17,27.04,25.22,27.37,24.97,27.11,24.46,28.46;L. Mehok,M. Stewart,C. Mehok,T. Seelbach",
2,A,,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",3:32.61,"25.07,27.44,25.63,28.38,24.83,28.73,24.73,27.80;N. Newton,A. Pruce,S. Hirsch,S. Pophal",
3,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",3:33.61,"25.60,27.64,24.83,27.38,26.17,28.85,24.99,28.15;E. Tenhundfeld,E. Kyre,A. Leibold,A. Tenhundfeld",
4,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",3:35.35,"25.94,28.42,26.00,28.64,25.95,28.06,24.78,27.56;M. Evans,C. Holzhall,O. Lafollette,B. Spangler",
5,A,,GRA,Granville,,Granville,OH,"40.078761, -82.527668",3:37.55,"26.56,28.83,27.15,30.75,24.79,27.45,24.63,27.39;B. Lemert,C. Otter,L. Sturgeon,H. Hardin",
6,A,,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",3:37.66,"25.78,28.31,26.55,28.66,26.69,29.08,24.55,28.04;A. Ellis,J. Bohl,L. Eberlein,M. Latimer",
7,A,,PTCL,Port Clinton,,Port Clinton,OH,"41.503497, -82.937835",3:39.25,"25.07,26.71,26.58,29.48,26.88,30.72,25.30,28.51;K. Periat,A. Taylor,Z. Barr,C. Blaesing",
8,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",3:39.78,"25.53,27.88,26.16,28.61,27.33,30.10,25.74,28.43;L. Collis,T. Zhang,A. Johannnessen,M. Sammut",
9,A,,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",3:40.31,"27.22,29.17,25.91,30.23,26.55,29.73,24.00,27.50;G. Them,J. Simmering,T. Crum,B. Trumpower",
10,A,,COSG,Columbus School for Girls,nhs,Columbus,OH,"39.968086, -82.938260",3:41.22,"26.94,28.83,26.91,30.23,26.78,29.14,24.70,27.69;E. Schindler,M. Keglewitsch,G. Yuan,O. Morse",
11,A,,DOV,Dover,,Dover,OH,"40.523320, -81.481673",3:41.81,"26.64,28.63,26.71,30.28,26.72,29.53,25.03,28.27;H. Perkowski,R. Schie,J. Leeper,E. Lane",
12,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",3:41.82,"26.46,28.84,26.10,29.07,26.90,28.99,26.13,29.33;C. Leroy,J. Feichtner,E. Garza,L. Dempsey",
13,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",3:41.92,"25.29,26.90,27.82,31.98,28.42,30.74,24.38,26.39;J. Shafer,A. Connor,K. Sheanshang,T. Bacher",
14,A,,NRCC,Colonel Crawford,,North Robinson,OH,"40.788253, -82.855703",3:42.69,"26.47,30.08,26.09,30.24,26.17,29.54,25.58,28.52;A. Martin,B. Bruner,A. Rickel,A. Finnan",
15,A,,AMA,Marlington,,Alliance,OH,"40.922987, -81.181719",3:42.74,"25.67,28.34,24.70,27.78,26.10,28.59,28.46,33.10;L. Guess,C. Cox,C. Cox,M. Montgomery",
16,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",3:43.00,"27.24,29.43,25.77,38.54,17.17,28.46,26.36,30.03;S. Tindale,M. Oria,G. Henz,L. Holmes",
17,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",3:43.19,"26.60,29.59,26.99,30.16,26.67,29.01,25.91,28.26;C. Dondorfer,S. Trem,T. Lazanich,Z. Pesek",
18,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",3:44.45,"27.30,30.17,26.27,28.85,26.63,28.23,26.65,30.35;A. Brouwer,R. Jankowski,L. Mitchell,M. Marburger",
19,A,,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",3:45.23,"26.30,28.92,27.49,29.34,27.40,30.11,26.28,29.39;A. Haas,A. Voisard,G. Ganger,A. Jacquemin",
20,A,,CSHU,Seven Hills,School,Cincinnati,OH,"39.166755, -84.402521",3:45.58,"27.04,29.42,27.13,30.42,26.91,29.38,26.24,29.04;C. Wolujewicz,J. Domet,J. Schneider,R. Ellerman",
21,A,,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",3:46.30,"27.23,28.92,27.96,31.27,27.26,29.81,25.87,27.98;C. Hayes,M. Prizler,P. Simon,L. Epley",
22,A,,WAU,Wauseon,,Wauseon,OH,"41.553403, -84.127931",3:49.45,"27.89,30.85,27.25,30.42,25.84,30.78,26.61,29.81;E. Rhoades,E. Wasnich,G. Rhoades,R. Ankney",
23,A,,NAP,Napoleon,,Napoleon,OH,"41.390402, -84.147467",3:52.47,"28.30,30.21,28.11,31.97,27.99,31.43,25.45,29.01;A. Speiser,R. Morman,M. Spring,H. Nagel",
24,A,,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",3:54.31,"27.97,29.88,26.83,30.26,28.08,31.42,28.28,31.59;A. Dyer,A. Gunsorek,C. Bahlmann,C. Albrecht",
