rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,Jake Lloyd,Jr,COSC,St. Charles,Preparatory School,Columbus,OH,"39.969651, -82.947449",20.20,;,
2,Brady Campbell,So,MIL,Milford,,Milford,OH,"39.179768, -84.241069",20.22,;,
3,Michael Gaier,Sr,POL,Olentangy Liberty,,Powell,OH,"40.197868, -83.098903",20.72,;,
4,Caden Blamer,Sr,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",20.76,;,
5,Jarrett Jenkins,Sr,WAW,Anthony Wayne,,Whitehouse,OH,"41.532495, -83.779770",21.06,;,
6,Aidan Jansen,Jr,MAS,Mason,,Mason,OH,"39.351367, -84.306013",21.07,;,
7,Thor Johannessen,So,CLSI,St. Ignatius,,Cleveland,OH,"41.482987, -81.706840",21.22,;,
8,Brad King,Jr,COSC,St. Charles,Preparatory School,Columbus,OH,"39.969651, -82.947449",21.24,;,
9,Noah Spivery,Jr,CAMO,Archbishop Moeller,,Cincinnati,OH,"39.220253, -84.358455",21.30,;,
10,Yassin Ghobril,Jr,MAS,Mason,,Mason,OH,"39.351367, -84.306013",21.32,;,
11,Sam Demarco,Jr,CSTX,St. Xavier,,Cincinnati,OH,"39.208760, -84.504478",21.34,;,
12,Andrew Clippard,Jr,CSTX,St. Xavier,,Cincinnati,OH,"39.208760, -84.504478",21.42,;,
13,Logan Ament,Jr,WTW,Thomas Worthington,,Worthington,OH,"40.090509, -83.025051",21.46,;,
14,Liam Bien,Sr,CSTX,St. Xavier,,Cincinnati,OH,"39.208760, -84.504478",21.48,;,
15,Michael Buchholz,Sr,WOO,Wooster,,Wooster,OH,"40.837444, -81.946493",21.50,;,
16,Jamal Deek,Sr,LCOR,Olentangy Orange,,Lewis Center,OH,"40.171851, -82.978987",21.53,;,
17,Ace Burkhart,Sr,WCLW,Lakota West,,West Chester,OH,"39.330294, -84.431138",21.55,;,
18,Brady Sanchez,Sr,TSFD,St. Francis de Sales,,Toledo,OH,"41.662272, -83.599113",21.60,;,
19,Cooper Florence,Jr,WTW,Thomas Worthington,,Worthington,OH,"40.090509, -83.025051",21.61,;,
20,Jett Sloan,So,COH,Oak Hills,,Cincinnati,OH,"39.146768, -84.648598",21.62,;,
21,John Short,Sr,SPR,Springboro,,Springboro,OH,"39.532708, -84.240096",21.67,;,
22,Connor Pirkle,Sr,NAL,New Albany,,New Albany,OH,"40.084160, -82.815574",21.69,;,
23,Chris Saxon,Jr,CLSI,St. Ignatius,,Cleveland,OH,"41.482987, -81.706840",21.77,;,
24,George Libecco,Sr,SOL,Solon,,Solon,OH,"41.377670, -81.441060",21.80,;,
25,Dylan Tackett,Sr,MEN,Mentor,,Mentor,OH,"41.694749, -81.336990",21.81,;,
26,Samyak Ramchandre,So,MAS,Mason,,Mason,OH,"39.351367, -84.306013",21.82,;,
27,Noah Kirk,So,MAS,Mason,,Mason,OH,"39.351367, -84.306013",21.89,;,
28,James Berg,So,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",21.93,;,
29,Brennan Jenkins,So,WAW,Anthony Wayne,,Whitehouse,OH,"41.532495, -83.779770",21.98,;,
30,PJ Varatta,Jr,CIWH,Walnut Hills,,Cincinnati,OH,"39.140488, -84.480216",22.01,;,
31,Korey Snyder,Sr,VANB,Butler,,Vandalia,OH,"39.885121, -84.197325",22.21,;,
--,Braden Fuller,Jr,LTLE,Lakota East,,Liberty Township,OH,"39.379273, -84.371020",DQ,;,
--,Drew Cellar,Sr,DJER,Dublin Jerome,,Dublin,OH,"40.133757, -83.177420",DQ,;,
