rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:44.67,"26.02,30.28,24.63,23.74;C. Mehok,M. Agwa,L. Mehok,T. Seelbach",
2,A,,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",1:47.54,"27.20,30.17,25.84,24.33;A. Khan,S. Pophal,C. Bautista,A. Pruce",
3,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",1:48.39,"28.06,30.00,24.98,25.35;A. Hoy,B. Spangler,M. Evans,A. Long",
4,A,,GRA,Granville,,Granville,OH,"40.078761, -82.527668",1:49.33,"28.03,30.51,27.38,23.41;L. Sturgeon,G. Largent,B. Lemert,H. Hardin",
5,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",1:49.55,"27.93,30.37,26.32,24.93;E. Leibold,A. Tenhundfeld,A. Leibold,S. Morrison",
6,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",1:49.57,"28.99,30.20,25.93,24.45;G. Minotas,M. Sammut,L. Collis,L. Frech",
7,A,,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",1:49.79,"26.83,30.70,27.20,25.06;M. Latimer,L. Eberlein,A. Ellis,J. Bohl",
8,A,,AMA,Marlington,,Alliance,OH,"40.922987, -81.181719",1:50.24,"30.48,29.12,25.47,25.17;M. Montgomery,C. Cox,L. Guess,C. Cox",
9,A,,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",1:50.49,"28.05,30.24,27.57,24.63;A. Jacquemin,G. Ganger,A. Jacquemin,A. Haas",
10,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",1:50.71,"27.33,30.63,26.21,26.54;P. Krupp,A. Sorg,S. Turner,M. Mapes",
11,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",1:50.75,"28.38,31.61,25.32,25.44;A. Replogle,L. Mitchell,E. Fager,R. Jankowski",
12,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",1:50.87,"29.24,32.55,25.70,23.38;L. Hecht,A. Rindler,A. Shardo,T. Mescher",
13,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",1:51.84,"29.74,30.04,25.20,26.86;M. Decarlo,T. Bacher,J. Shafer,K. Sheanshang",
14,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",1:52.25,"29.34,32.50,25.09,25.32;E. Lowrie,R. Fleege,O. Lewis,M. Esposito",
15,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",1:52.55,"28.31,30.64,28.08,25.52;M. MacHado,A. Scharpf,E. Rankin,S. McCort",
16,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:52.95,"28.62,31.77,27.21,25.35;M. Oria,G. Henz,L. Holmes,S. Tindale",
17,A,,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",1:53.05,"28.88,30.69,28.20,25.28;A. Dyer,S. Richards,M. Keane,G. Goodwin",
18,A,,FRE,Fort Recovery,,Fort Recovery,OH,"40.412200, -84.774799",1:53.10,"27.45,31.00,27.59,27.06;T. Fortkamp,A. Bubp,J. Kaup,P. Guggenbiller",
19,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:53.29,"29.24,32.56,26.65,24.84;G. Demarco,A. Lewis,C. Leroy,L. Dempsey",
20,A,,LSH,Shawnee,,Lima,OH,"40.692716, -84.167619",1:53.77,"28.34,32.19,26.43,26.81;M. Schimmoeller,A. Newman,A. Newman,K. Frost",
21,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:55.00,"28.90,31.00,28.82,26.28;T. Knott,M. Beckett,M. Maag,O. Fenbert",
22,A,,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",1:55.35,"31.46,30.40,27.75,25.74;K. Skavnak,E. West,N. Mitchel,A. Keller",
23,A,,DOV,Dover,,Dover,OH,"40.523320, -81.481673",1:55.73,"29.14,32.94,27.94,25.71;R. Durbin,C. Connare,J. Leeper,A. Wright",
24,A,,COGH,Grandview Heights,,Columbus,OH,"39.984467, -83.048483",1:56.08,"29.87,33.56,29.40,23.25;L. Fischer,V. Chute,M. Urig,C. Furbee",
