rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",3:29.16,"25.78,27.41,25.16,27.31,24.88,27.26,18.16,33.20;B. Stewart,I. Qi,L. Mehok,C. Mehok",
2,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",3:33.69,"25.54,28.00,25.47,28.84,54.06,24.40,27.38;L. Bailey,M. Esposito,E. Lowrie,O. Lewis",
3,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",3:34.60,"25.41,27.91,24.72,27.09,26.71,28.85,25.48,28.43;E. Tenhundfeld,E. Kyre,E. Leibold,A. Leibold",
4,A,,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",3:35.04,"25.29,27.50,25.83,28.06,25.65,28.59,25.20,28.92;S. Pophal,A. Pruce,C. Edgar,S. Hirsch",
5,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",3:36.41,"25.70,28.04,25.85,28.44,26.23,29.24,24.94,27.97;L. Collis,T. Zhang,G. Minotas,M. Sammut",
6,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",3:36.75,"25.75,28.32,26.36,29.30,26.07,28.45,24.81,27.69;C. Holzhall,A. Long,O. Lafollette,B. Spangler",
7,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",3:37.90,"25.41,26.85,28.07,31.07,26.01,29.02,24.45,27.02;J. Shafer,A. Connor,L. Gregory,T. Bacher",
8,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",3:39.44,"26.91,29.53,26.58,28.54,25.49,28.35,25.48,28.56;L. Holmes,S. Tindale,G. Henz,M. Oria",
9,A,,NRCC,Colonel Crawford,,North Robinson,OH,"40.788253, -82.855703",3:40.77,"26.89,29.41,26.48,30.04,25.76,28.33,25.99,27.87;B. Bruner,R. Finnan,A. Finnan,A. Rickel",
10,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",3:41.09,"26.64,28.77,26.57,29.50,26.59,28.92,25.63,28.47;C. Dondorfer,H. Suponcic,T. Lazanich,Z. Pesek",
11,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",3:42.33,"26.12,29.15,26.26,29.50,27.01,29.70,25.81,28.78;C. Leroy,E. Garza,L. Klosterman,J. Feichtner",
12,A,,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",3:42.35,"26.91,28.76,27.09,29.87,27.31,29.55,25.46,27.40;C. Hayes,P. Simon,M. Prizler,L. Epley",
13,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",3:42.36,"26.65,29.21,26.42,29.43,27.06,29.76,25.18,28.65;A. Replogle,L. Mitchell,A. Brouwer,B. Zaring",
14,A,,PTCL,Port Clinton,,Port Clinton,OH,"41.503497, -82.937835",3:42.87,"25.05,27.00,26.53,30.62,27.72,31.56,25.92,28.47;K. Periat,S. Lieske,H. Puffenberger,A. Taylor",
15,A,,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",3:45.00,"26.59,28.80,56.63,28.20,31.34,25.27,28.17;W. Mbui,E. Harness,A. Jain,A. Neff",
16,A,,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",3:46.19,"26.66,29.86,26.74,30.23,26.96,30.24,26.24,29.26;E. Caldwell,E. Woods,J. Wyant,K. Caldwell",
17,A,,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",3:46.20,"27.13,29.15,26.53,29.04,27.80,30.12,26.27,30.16;K. Fridrich,V. Meckstroth,I. Stowe,M. Koopal",
18,A,,PPO,Orange,,Pepper Pike,OH,"41.458036, -81.454526",3:46.75,"26.17,29.09,27.43,30.03,27.21,29.76,27.41,29.65;N. Deshpande,L. Campbell,A. Chepyala,C. Bolton",
19,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",3:47.84,"27.71,30.70,27.34,30.23,26.60,30.71,25.67,28.88;S. Shardo,L. Cordonnier,L. Hecht,A. Shardo",
20,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",3:50.13,"26.85,28.98,27.08,30.44,26.80,32.48,26.50,31.00;A. Scharpf,N. Zalud,A. Baker,G. Ryan",
21,A,,BRY,Bryan,,Bryan,OH,"41.457279, -84.568132",3:50.34,"28.68,31.59,26.79,30.95,28.36,31.22,24.59,28.16;J. Mojica,A. Moore,H. Devlin,N. Kunsman",
22,A,,TOH,Ottawa Hills,,Ottawa Hills,OH,"41.669832, -83.631424",3:50.90,"27.68,31.76,26.96,30.12,26.84,31.02,26.45,30.07;C. McCarthy,Z. McCarthy,M. Lathrop,A. Nixon",
23,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",3:53.15,"27.42,30.75,28.28,30.85,28.24,31.52,26.70,29.39;A. Klass,M. Maag,T. Knott,K. Maag",
24,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",3:59.13,"28.42,32.35,27.42,31.21,27.77,31.16,28.05,32.75;M. Mapes,O. Cherry,A. Grieger,C. Brown",
