rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,CURA,Ursuline,Academy,Cincinnati,OH,"39.247894, -84.371321",3:28.24,"25.16,27.23,24.92,26.97,25.13,27.31,24.64,26.88;N. Smyth,A. Uhlman,M. Eckman,G. Gordon",
2,A,,MAS,Mason,,Mason,OH,"39.351367, -84.306013",3:29.07,"25.08,27.49,24.95,27.67,25.67,28.21,23.87,26.13;L. Rhoten,A. Erickson,A. Althouse,I. Teply",
3,A,,DJER,Dublin Jerome,,Dublin,OH,"40.133757, -83.177420",3:29.27,"25.25,26.82,24.73,27.04,25.69,28.12,23.94,27.68;M. Leonard,H. Randolph,E. Leonard,O. Matson",
4,A,,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",3:29.94,"24.64,26.78,24.31,27.77,25.29,27.95,25.52,27.68;M. Berg,R. Hollingsworth,A. Oliphant,K. Powers",
5,A,,CSUA,St. Ursula,Academy,Cincinnati,OH,"39.124710, -84.481598",3:33.63,"26.11,27.82,25.16,27.78,25.62,27.83,25.32,27.99;A. Sadri,C. Lied,R. Kleinfelder,T. Shepherd",
6,A,,GLI,Gahanna Lincoln,,Gahanna,OH,"40.016451, -82.865533",3:34.02,"25.84,27.74,25.64,29.12,25.72,29.20,24.01,26.75;S. Braun,T. Braun,K. Reetz,A. Briseno",
7,A,,WKI,Worthington Kilbourne,,Worthington,OH,"40.115217, -83.055895",3:34.72,"26.13,28.54,25.38,27.96,25.66,28.39,25.16,27.50;M. Richner,C. Fuller,A. Decarlo,A. Goodrich",
8,A,,LCOR,Olentangy Orange,,Lewis Center,OH,"40.171851, -82.978987",3:34.96,"25.65,27.43,26.30,28.99,25.77,28.51,24.67,27.64;L. Moorhead,E. Longhouse,N. Cameron,M. Boccio",
9,A,,CSYC,Sycamore,,Cincinnati,OH,"39.267037, -84.352090",3:35.01,"26.05,28.06,26.57,29.14,25.64,28.17,24.48,26.90;S. Finn,E. Hardy,C. Fox,A. Robillard",
10,A,,MJA,Jackson,,Massillon,OH,"40.859154, -81.491430",3:36.10,"25.83,27.79,26.27,28.92,25.94,28.64,24.89,27.82;A. Manofsky,G. Micelli,K. Ataya,N. Shulik",
11,A,,DCO,Dublin Coffman,,Dublin,OH,"40.107364, -83.130928",3:37.82,"26.70,29.10,24.91,27.28,25.40,28.74,26.20,29.49;M. Zook,K. Kollin,J. Brown,A. Ehret",
12,A,,POL,Olentangy Liberty,,Powell,OH,"40.197868, -83.098903",3:38.63,"26.92,28.14,26.05,29.45,25.03,28.52,25.62,28.90;L. Fogelman,T. McCoppin,E. Plunkett,H. Kelly",
13,A,,HUD,Hudson,,Hudson,OH,"41.256797, -81.413904",3:38.95,"26.47,28.24,25.69,28.57,25.77,30.03,25.87,28.31;M. Drolshagen,A. Sawicki,N. Pavlik,S. Baylor",
14,A,,RRM,Magnificat,,Rocky River,OH,"41.468468, -81.850298",3:39.09,"26.32,28.47,26.10,29.49,25.96,28.35,25.37,29.03;B. Farrell,N. Drexler,M. Pisanelli,A. Taseff",
15,A,,WTW,Thomas Worthington,,Worthington,OH,"40.090509, -83.025051",3:39.90,"25.38,27.96,26.08,30.04,26.43,29.95,25.82,28.24;S. Whitham,E. Hunt,S. Hoffman,N. Holub",
16,A,,MNO,Nordonia,,Macedonia,OH,"41.301860, -81.510625",3:39.91,"25.08,27.98,26.56,29.48,27.13,30.79,25.09,27.80;E. Yorkievitz,A. Pohlmeyer,O. Seither,H. Kaminski",
17,A,,LOUI,Louisville,,Louisville,OH,"40.829441, -81.252604",3:40.59,"26.32,29.35,26.51,29.41,25.17,28.92,26.11,28.80;K. Kocher,A. Willett,L. Claugus,K. Claugus",
18,A,,LTLE,Lakota East,,Liberty Township,OH,"39.379273, -84.371020",3:40.97,"26.47,29.15,26.78,30.91,26.14,28.69,24.78,28.05;N. Fada,E. Witkowski,J. Squibb,B. Bacher",
19,A,,BRU,Brunswick,,Brunswick,OH,"41.241619, -81.815475",3:41.09,"26.44,28.99,25.98,28.51,26.73,29.70,25.94,28.80;R. Sheets,L. Richard,C. Parr,Z. Lesko",
20,A,,SHT,Shaker Heights,,Shaker Heights,OH,"41.473276, -81.568492",3:41.82,"26.96,28.94,26.38,29.04,27.06,30.03,25.52,27.89;A. Kuhel,H. Lindow,A. Rosenbaum,L. Holda",
21,A,,BVC,Beavercreek,,Beavercreek,OH,"39.720416, -84.033778",3:42.18,"27.24,29.16,26.39,29.24,26.39,29.87,25.64,28.25;O. Muster,E. Adkins,L. Kochersperger,K. Nuttbrock",
22,A,,OTA,Talawanda,,Oxford,OH,"39.489855, -84.732758",3:42.23,"26.31,28.44,26.70,30.04,27.48,30.18,24.88,28.20;A. Gregg,M. Sparks,C. Offenburger,A. Curry",
23,A,,PERB,Perrysburg,,Perrysburg,OH,"41.519172, -83.653030",3:42.57,"26.63,28.87,27.40,31.19,26.60,29.70,24.69,27.49;C. Baxter,S. Randecker,C. Gerken,N. Sanders",
24,A,,WAW,Anthony Wayne,,Whitehouse,OH,"41.532495, -83.779770",3:42.75,"26.30,28.61,26.03,28.95,25.95,29.11,26.98,30.82;K. Hildebrand,M. Syrek,C. Hildebrand,B. Williams",
