rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:37.00,"24.25,24.08,24.30,24.37;S. Jimenez,I. Qi,O. Agwa,B. Stewart",
2,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",1:38.01,"24.69,24.38,25.42,23.52;E. Tenhundfeld,A. Leibold,S. Morrison,E. Kyre",
3,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",1:38.26,"24.08,26.41,24.61,23.16;J. Shafer,A. Connor,L. Gregory,T. Bacher",
4,A,,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",1:38.36,"24.54,25.07,24.62,24.13;N. Newton,E. Salerno,A. Pruce,S. Hirsch",
5,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",1:39.02,"25.04,25.28,23.96,24.74;A. Long,A. Hoy,M. Evans,C. Holzhall",
6,A,,GRA,Granville,,Granville,OH,"40.078761, -82.527668",1:39.43,"25.92,25.48,24.43,23.60;G. Largent,S. Lauffer,L. Hyslop,L. Sturgeon",
7,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",1:40.19,"25.07,26.45,24.44,24.23;S. Turner,C. Brown,P. Krupp,A. Sorg",
8,A,,NRCC,Colonel Crawford,,North Robinson,OH,"40.788253, -82.855703",1:40.81,"25.66,25.27,25.10,24.78;B. Bruner,R. Finnan,A. Finnan,A. Rickel",
9,A,,PTCL,Port Clinton,,Port Clinton,OH,"41.503497, -82.937835",1:40.90,"24.07,25.78,26.21,24.84;K. Periat,S. Lieske,K. Simpson,A. Taylor",
10,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",1:41.22,"25.46,25.33,25.83,24.60;C. Dondorfer,T. Lazanich,I. Trem,Z. Pesek",
11,A,,COGH,Grandview Heights,,Columbus,OH,"39.984467, -83.048483",1:41.45,"25.87,25.58,27.24,22.76;L. Fischer,V. Chute,M. Urig,C. Furbee",
12,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:42.24,"25.53,25.65,25.87,25.19;C. Leroy,E. Garza,L. Klosterman,J. Feichtner",
13,A,,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",1:42.46,"26.47,25.52,25.56,24.91;A. Keller,N. Mitchel,E. West,K. Skavnak",
14,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",1:42.59,"26.49,25.95,25.76,24.39;L. Hecht,L. Cordonnier,S. Shardo,A. Shardo",
15,A,,CICD,Cincinnati Country Day,School,Cincinnati,OH,"39.185750, -84.327596",1:42.92,"25.43,26.66,26.54,24.29;D. Gorman,G. Varga,A. Gammon,C. Ramirez",
16,A,,CSHU,Seven Hills,School,Cincinnati,OH,"39.166755, -84.402521",1:43.00,"25.92,26.54,25.74,24.80;J. Schneider,I. Zhang,M. Zortman,R. Ellerman",
17,A,,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",1:43.10,"25.68,25.31,27.03,25.08;A. Dyer,A. Gunsorek,M. Keane,S. Richards",
18,A,,CLHB,Beaumont,School,Cleveland Heights,OH,"41.485421, -81.561363",1:43.40,"25.87,25.73,25.77,26.03;C. Dautovic,M. Ondrejka,C. Rowane,M. Rudmann",
19,A,,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",1:43.42,"26.49,25.59,26.32,25.02;K. Fridrich,V. Meckstroth,I. Stowe,M. Koopal",
20,A,,PPO,Orange,,Pepper Pike,OH,"41.458036, -81.454526",1:43.79,"26.60,26.94,24.86,25.39;A. Chepyala,L. Jais,N. Deshpande,L. Campbell",
21,A,,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",1:44.05,"26.58,26.84,26.16,24.47;P. Triplett,S. James,A. Botkin,C. Turner",
22,A,,LSH,Shawnee,,Lima,OH,"40.692716, -84.167619",1:44.18,"25.71,26.69,26.27,25.51;C. Schaaf,A. Eyob,A. Newman,M. Schimmoeller",
23,A,,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",1:44.38,"26.22,26.05,26.11,26.00;G. Ganger,A. Jacquemin,A. Anderson,A. Poffenberger",
24,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:44.57,"26.23,27.26,25.90,25.18;A. Klass,M. Maag,T. Knott,K. Maag",
