rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:37.31,"24.84,24.41,24.71,23.35;I. Qi,B. Stewart,O. Nordstrom,T. Seelbach",
2,A,,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",1:37.86,"24.02,24.74,24.19,24.91;N. Newton,S. Hirsch,C. Bautista,B. Shirkey",
3,A,,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",1:39.17,"23.45,25.21,25.62,24.89;B. Trumpower,J. Simmering,T. Crum,G. Them",
4,A,,PTCL,Port Clinton,,Port Clinton,OH,"41.503497, -82.937835",1:39.41,"23.61,25.35,26.03,24.42;K. Periat,A. Taylor,S. Lieske,C. Blaesing",
5,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",1:39.70,"24.92,25.51,25.41,23.86;E. Tenhundfeld,E. Leibold,S. Morrison,E. Kyre",
6,A,,COSG,Columbus School for Girls,nhs,Columbus,OH,"39.968086, -82.938260",1:39.87,"25.61,24.94,25.67,23.65;E. Schindler,D. Knight,G. Yuan,O. Morse",
7,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",1:40.20,"24.98,24.89,26.14,24.19;S. Turner,P. Krupp,M. Mapes,A. Sorg",
7,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",1:40.20,"25.25,25.76,25.87,23.32;L. Hecht,A. Rindler,A. Shardo,T. Mescher",
9,A,,DOV,Dover,,Dover,OH,"40.523320, -81.481673",1:40.32,"25.38,25.28,25.47,24.19;H. Perkowski,K. Wright,A. Wright,E. Lane",
10,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:41.13,"25.15,25.48,25.75,24.75;C. Leroy,J. Feichtner,E. Garza,L. Dempsey",
11,A,,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",1:41.31,"25.59,25.88,24.71,25.13;A. Gunsorek,M. Keane,S. Richards,G. Goodwin",
12,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",1:41.43,"25.90,25.37,26.57,23.59;M. Esposito,E. Lowrie,R. Fleege,O. Lewis",
13,A,,COGH,Grandview Heights,,Columbus,OH,"39.984467, -83.048483",1:41.53,"26.04,25.88,26.75,22.86;L. Fischer,V. Chute,G. Tew,C. Furbee",
14,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",1:41.79,"26.12,24.35,26.26,25.06;G. Minotas,L. Frech,E. Hayek,T. Zhang",
15,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",1:41.83,"25.67,25.46,25.57,25.13;A. Replogle,M. Marburger,A. Brouwer,E. Fager",
16,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",1:41.90,"25.34,26.44,25.24,24.88;Z. Pesek,S. Trem,T. Lazanich,C. Dondorfer",
17,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",1:41.93,"25.83,25.15,25.78,25.17;A. Hoy,A. Long,O. Lafollette,C. Holzhall",
18,A,,SKR,Kenton Ridge,,Springfield,OH,"39.986529, -83.762351",1:41.93,"25.67,26.14,25.32,24.80;R. Brown,A. Shaffer,B. Dehart,J. Brown",
19,A,,CICD,Cincinnati Country Day,School,Cincinnati,OH,"39.185750, -84.327596",1:42.96,"26.03,26.67,26.02,24.24;D. Gorman,G. Varga,A. Gammon,C. Ramirez",
20,A,,CSHU,Seven Hills,School,Cincinnati,OH,"39.166755, -84.402521",1:43.11,"25.85,26.01,25.50,25.75;C. Wolujewicz,J. Domet,J. Schneider,R. Ellerman",
21,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",1:43.38,"26.77,25.57,25.32,25.72;N. Zalud,M. MacHado,A. Scharpf,S. McCort",
22,A,,LSH,Shawnee,,Lima,OH,"40.692716, -84.167619",1:44.39,"25.50,27.77,27.16,23.96;M. Schimmoeller,A. Newman,K. Frost,A. Newman",
23,A,,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",1:44.77,"26.11,26.45,26.28,25.93;N. Maggard,A. Poffenberger,A. Jacquemin,A. Voisard",
--,A,,NRCC,Colonel Crawford,,North Robinson,OH,"40.788253, -82.855703",DQ,"25.58,26.21,25.11,NT;A. Rickel,R. Ritzhaupt,A. Martin,A. Finnan",
